Content,Video title,Video publish time,Duration,Views,Watch time (hours),Subscribers,Estimated revenue (IDR),Impressions,Impressions click-through rate (%)
Total,,,,56732,"19765,412",111,"982754,07",348780,"7,13"
DtJlIwfR7oQ,Matikan Egomu Sebelum Hidupmu Dipenuhi Penyesalan,"Jun 24, 2026",5922,3711,"2048,7141",12,"150455,133",48439,"7,25"
elH1GIL1Zho,Imam Ghazali: Musuh Terbesar Hidupmu Ternyata Dirimu Sendiri – Dr. Fahruddin Faiz,"Jun 21, 2026",6933,2880,"2007,6571",11,"138583,701",31060,8
0Ifl8ULyCu4,Kamu Bukan Gak Laku #shorts,"Jun 27, 2026",50,2262,"12,2664",1,"420,06",554,"6,68"
B-1hXzeJ0sU,Jangan Terlanjur Rusak #shorts,"Jun 20, 2026",54,1823,"8,241",2,"329,408",379,"4,49"
gt7dBCg57SM,Setiap Orang Punya Perangnya #shorts,"Jun 18, 2026",44,1738,"10,7994",4,"300,515",240,"2,5"
9cud-T3SuC0,"Sun Tzu: Perhatian Kita Terlihat Bebas, Padahal Sedang Dikendalikan – Dr. Fahruddin Faiz","Jun 19, 2026",6681,1685,"971,1103",5,"48138,37",21316,"6,32"
MSKWKOfeYuw,Santo Agustinus: Cara Mengakhiri Perang di Dalam Pikiranmu – Dr. Fahruddin Faiz,"Jun 17, 2026",6635,1683,"1084,722",4,"54450,446",17973,"7,14"
oei_Jw9XKNs,Filosofi Timur: Penyebab Masalah Hidupmu Terus Mengulang Ternyata Ketidaksadaranmu,"Jun 26, 2026",6176,1624,"882,8221",5,"85125,052",30024,"6,53"
iQDo9PoqQcw,Kenapa Batinmu Burn Out #shorts,"Jun 23, 2026",52,1563,"7,2966",1,"5378,855",394,"5,58"
eKaPILzRFkQ,Akun Palsumu Adalah Dirimu yang Asli #shorts,"Jun 21, 2026",40,1550,"9,0707",1,"291,798",473,"2,96"
EQq3qrCz4LI,Ramai Tapi Sepi #shorts,"Jun 25, 2026",50,1545,"8,7068",0,"252,645",420,"7,62"
oQEIpf__V_M,Sukses Tapi Batin Kosong #shorts,"Jun 16, 2026",63,1537,"10,6876",2,"1042,353",451,"4,66"
364ZQ1u92aM,Tanda Imanmu Kuat: Tidak Mudah Panik! #shorts,"Jun 13, 2026",35,1514,"8,6092",0,"218,398",250,"4,8"
Y4yZijGWrrU,"Cinta Dulu, atau Komitmen Dulu? #shorts","Jul 5, 2026",68,1497,"8,1409",5,"293,381",331,"5,44"
9XZj0dX6dSM,Kenapa Sahabat Terbaikmu Justru Hadir dalam Keheningan? Konfusius Menjawab,"Jul 5, 2026",6625,1458,"955,4983",3,"28004,811",14244,"7,95"
ARXkGlehsiw,Fokusmu Sedang Dicuri #shorts,"Jun 19, 2026",60,1190,"7,7858",1,"230,538",332,"2,71"
CU_GY9k2xDc,Jangan Sampai Kebencian Orang Lain Tinggal di Dalam Dirimu,"Jul 3, 2026",6761,1045,"697,5987",5,"40970,784",15219,"8,52"
JrgvmRawzX0,Imam Ghazali: Mengapa Jiwamu Terasa Kosong Padahal Usiamu Kian Dewasa?,"Jun 14, 2026",6229,885,"431,8331",0,"26732,019",10117,"6,78"
OspCCNbeJns,Ibnu Sina: Saat Pikiran Melukai Tubuh | Dr. Faiz,"Jun 5, 2026",6356,871,"649,6305",1,"25435,48",7626,"8,67"
G_LHhMWy_RQ,Itu Belum Cinta #shorts,"Jul 4, 2026",60,797,"4,9482",7,"288,476",240,"4,17"
s4qvWIwvwUk,Jalaluddin Rumi: Cara Berdamai dengan Seseorang yang Tak Bisa Kamu Ubah – Dr. Fahruddin Faiz,"Jun 12, 2026",3634,713,"169,5954",1,"13769,716",9128,"6,05"
SmWFivyBOPM,RAHASIA ILMU LADUNI: Cara Al-Ghazali Mendapat Pengetahuan Langsung dari Allah – Dr. Fahruddin Faiz,"Nov 7, 2025",7009,625,"374,1143",4,"15355,653",6445,"7,2"
tKvL-saonmA,Law of Attraction: Rahasia Kekuatan Batin untuk Mengubah Hidup – Dr. Fahruddin Faiz,"Jul 11, 2025",7091,614,"285,6848",3,"24273,576",6679,"8,06"
