Content,Video title,Video publish time,Duration,Views,Watch time (hours),Subscribers,Estimated revenue (IDR),Impressions,Impressions click-through rate (%)
Total,,,,1938138,"691561,5465",14176,"34311049,86",20548112,"5,75"
lZkdM_eJuWw,Sendiri Tapi Kuat: Rahasia Jiwa yang Tak Banyak Orang Tahu – Dr. Fahruddin Faiz,"Apr 26, 2025",3357,243838,"67255,6466",2874,"3480639,151",3368034,"5,44"
4iZHxoiq8xM,"Hidup Itu Mudah, Tapi Pikiran Kita Ribet! – Dr. Fahruddin Faiz","Apr 14, 2025",1611,196549,"31651,3128",3119,"1185514,49",3041609,"4,8"
tKvL-saonmA,Law of Attraction: Rahasia Kekuatan Batin untuk Mengubah Hidup – Dr. Fahruddin Faiz,"Jul 11, 2025",7091,92015,"49520,9854",855,"3562122,843",1180544,"6,16"
SmWFivyBOPM,RAHASIA ILMU LADUNI: Cara Al-Ghazali Mendapat Pengetahuan Langsung dari Allah – Dr. Fahruddin Faiz,"Nov 7, 2025",7009,72244,"36514,4917",689,"2063411,115",1313172,"4,11"
V_pP8L-ftQI,Zarathustra: Nabi yang Dihapus Sejarah atau Mitos yang Disalahpahami?  – Dr. Fahruddin Faiz,"Jan 16, 2026",6978,61638,"26863,0818",488,"1280850,265",813610,"5,88"
5LzlHRH-P7M,Syukur: Jalan Sunyi Menuju Ketenteraman Batin – Dr. Fahruddin Faiz,"Apr 20, 2025",2131,45214,"10751,1375",454,"176036,757",492295,"6,28"
oMye_bOh62Y,"Cuma 1 Cara agar Hatimu Tetap Tenang, Kapan pun & Di Mana pun – Dr. Fahruddin Faiz","Apr 22, 2025",2279,38000,"9020,8387",299,"171582,648",417069,"6,59"
xAeP_rXTRiQ,Bebas dari yang Dikenal: Mengapa Hidup Kita Tidak Orisinil? Jiddu Krishnamurti – Dr. Fahruddin Faiz,"Jul 28, 2025",6538,31850,"18100,8677",225,"910072,942",329644,"7,3"
PI_S3GFZ8n0,Benarkah Zaman Edan Sudah Tiba? Ronggowarsito Mengungkap Kebenarannya! – Dr. Fahruddin Faiz,"May 18, 2025",2497,24774,"4936,2983",225,"99148,827",333303,"6,21"
CiG2nHB3VvI,Reset Hidup ala Syekh Muhammad al-Ghazali: Rahasia Bahagia Sejati – Dr. Fahruddin Faiz,"Sep 5, 2025",6417,24500,"15986,2282",163,"980155,486",253347,"6,72"
nOCtv9EACqg,Makna dan Tujuan Hidup: Obat dari Kekosongan Eksistensial – Dr. Fahruddin Faiz,"Oct 22, 2025",6361,24246,"16172,5429",114,"991735,833",264850,"6,15"
NM8RYhIbgog,Mengapa Orang Saleh Justru Paling Tenang? 3 Rahasia Sufi Imam Hasan Al-Bashri - Dr. Fahruddin Faiz,"Dec 26, 2025",6014,23665,"14106,5758",135,"683990,241",298639,"5,27"
koXuaoQerr4,Kecerdasan Spiritual: Rahasia di Balik Hidup yang Penuh Makna – Dr. Fahruddin Faiz,"Aug 8, 2025",5839,21728,"12599,615",148,"413043,218",301890,"5,67"
Y1J9flvg7W8,"Tenangkan Pikiranmu, Hidup Tak Harus Dilawan – Dr. Fahruddin Faiz","Apr 25, 2025",2017,18813,"3629,1445",154,"18290,648",226744,"6,38"
8Hgw9bSOXkM,Krishna Nabi atau Bukan? Pertanyaan Berani yang Jarang Dibahas Ulama,"Feb 14, 2026",6872,17516,"9193,442",66,"412480,965",247157,"5,34"
J122zpRINjc,Saat Pikiran Tak Pernah Diam — Apakah Ini Masalah Mental atau Jiwa?  – Dr. Fahruddin Faiz,"Jan 22, 2026",5368,16287,"8646,9779",44,"499091,75",176086,"6,69"
1UoMoM55Ufg,Prasangka Diam-Diam Menghancurkan Hidupmu — Sadari Sebelum Terlambat!,"Aug 13, 2025",7147,14835,"10249,4036",75,"562380,584",147621,"7,91"
OCBriiNeDcg,"Dihormati Dunia, Tapi Memilih Jalan Sunyi — Hikmah Hidup Syekh Nawawi Al-Bantani","Feb 6, 2026",6566,13261,"7978,151",41,"360486,753",117548,"8,43"
lnZYBpgRkZ8,Usia Hanya Angka: Rahasia Jiwa yang Tak Pernah Menua – Dr. Fahruddin Faiz,"Oct 17, 2025",6495,13206,"7671,9485",111,"420329,73",150401,"6,18"
yp7A6BMtFFw,Kamu Belum Hidup — Karena Belum “Mati”  — Hikmah Syekh Arsyad Al-Banjari,"Feb 21, 2026",7157,12886,"8716,2732",60,"349546,745",130138,"7,13"
pSfQWtuzqVg,Rumus Sederhana Hidup Tenang – Dr. Fahruddin Faiz | Suara Filsuf,"May 5, 2025",60,12275,"118,5658",60,"252,698",10531,"5,52"
KF9su8dt3Rw,Mengapa Orang Suka Menyendiri? Inilah Sejatinya – Dr. Fahruddin Faiz | Suara Filsuf,"May 15, 2025",37,12067,"70,1662",24,"179,499",2091,"4,93"
