Content,Video title,Video publish time,Duration,Views,Watch time (hours),Subscribers,Estimated revenue (IDR),Impressions,Impressions click-through rate (%)
Total,,,,96122,"43795,5664",312,"2271540,117",922218,"6,68"
seNvo62vmK4,Filsafat Jawa: Kenapa Semar Adalah Cermin Tuhan?,"Jul 17, 2026",6392,18152,"8801,7041",69,"413251,419",258067,"5,83"
CU_GY9k2xDc,Jangan Sampai Kebencian Orang Lain Tinggal di Dalam Dirimu,"Jul 3, 2026",6761,10527,"6493,4109",47,"368476,011",123541,"6,72"
9XZj0dX6dSM,Kenapa Sahabat Terbaikmu Justru Hadir dalam Keheningan? Konfusius Menjawab,"Jul 5, 2026",6625,6915,"4206,2115",19,"193241,395",67560,8
7q66_IGr0aI,Kenapa Sering Cemas dalam Hubungan? - Paradoks Pernikahan,"Jul 15, 2026",6481,5591,"2628,2064",22,"196227,209",71766,"6,2"
J6CbnJnduX0,Imam Ghazali: Kenapa Pernikahan Sering Gagal?,"Jul 10, 2026",7186,5067,"2410,6515",33,"134730,08",57501,"6,83"
Xok-EdMIfIE,Umar bin Khattab & Rahasia Hidup Tenang di Tengah Kekuasaan,"Jul 19, 2026",6931,3750,"2421,3116",8,"99517,643",45924,"6,65"
wbjG6rNxJ_E,Menghadapi Zaman Edan: Rahasia Ronggowarsito Agar Jiwa Tetap Waras,"Jul 24, 2026",5926,3103,"1748,2949",5,"54998,85",32296,"7,81"
T7gYUMgsDd4,Rusak Tanpa Sadar #shorts,"Jul 13, 2026",47,2097,"10,7758",1,"388,658",345,"4,64"
PThDgdDniho,Kenapa Kita Takut Dianggap Aneh? Michel Foucault Menjawab,"Jul 1, 2026",5863,1792,"932,0405",3,"52200,195",25136,"5,76"
0La-Jb2GI3Q,Rahasia Gajah Mada: Jabatan Itu Musibah atau Anugerah?,"Jul 12, 2026",6705,1683,"992,3111",3,"40682,154",17518,"7,36"
sFvT0_jm-Nw,Takut Salah Pilih #shorts,"Jul 14, 2026",29,1612,"7,5261",5,"320,982",570,"7,54"
yiI_liv6O_o,Eksistensialisme: Menikah Untuk Lari Dari Sepi Justru Membuat Semakin Kosong – Dr. Fahruddin Faiz,"Jul 9, 2026",5995,1536,"836,7349",5,"67915,38",17853,"6,55"
Y4yZijGWrrU,"Cinta Dulu, atau Komitmen Dulu? #shorts","Jul 5, 2026",68,1527,"8,3703",5,"300,601",422,"4,98"
oei_Jw9XKNs,Filosofi Timur: Penyebab Masalah Hidupmu Terus Mengulang Ternyata Ketidaksadaranmu,"Jun 26, 2026",6176,1490,"782,7364",7,"48613,347",16376,"6,42"
_ghy4zS1iBE,Spiritualitas Pernikahan: Mengapa Menikah Bukan Sekadar Mencari Bahagia,"Jul 22, 2026",6676,1441,"855,8147",6,"14850,832",19708,"5,74"
F_Y8S1XOlbc,Lelah dengan Kebisingan Dunia? Sedikit yang Cukup Ternyata Menyelamatkanmu,"Jul 2, 2026",6590,1440,"997,7304",1,"46020,868",11352,"9,16"
4jaKc6WPkpU,Kenapa Kita Sering Cemas? Imam Syafi'i Menjawab,"Jul 26, 2026",7112,1429,"988,8335",3,"1,825",12711,"8,93"
DtJlIwfR7oQ,Matikan Egomu Sebelum Hidupmu Dipenuhi Penyesalan,"Jun 24, 2026",5922,1227,"760,0829",3,"44032,136",12047,"7,07"
G_LHhMWy_RQ,Itu Belum Cinta #shorts,"Jul 4, 2026",60,1179,"7,6143",8,"294,413",333,"3,9"
tKvL-saonmA,Law of Attraction: Rahasia Kekuatan Batin untuk Mengubah Hidup – Dr. Fahruddin Faiz,"Jul 11, 2025",7091,977,"466,0454",7,"28593,206",9390,"7,19"
SmWFivyBOPM,RAHASIA ILMU LADUNI: Cara Al-Ghazali Mendapat Pengetahuan Langsung dari Allah – Dr. Fahruddin Faiz,"Nov 7, 2025",7009,969,"546,6582",6,"15202,349",8729,"6,87"
qW4FjmrJXf0,Filosofi Jabatan Gajah Mada #shorts,"Jul 18, 2026",65,933,"2,9392",0,"114,609",295,"2,71"
elH1GIL1Zho,Imam Ghazali: Musuh Terbesar Hidupmu Ternyata Dirimu Sendiri – Dr. Fahruddin Faiz,"Jun 21, 2026",6933,852,"652,5642",3,"25594,657",5833,"10,17"
gmxd3x5ZGvU,Melihat Tuhan Lewat Pasangan Hidup #shorts,"Jul 20, 2026",65,847,"6,6158",1,"157,108",458,"7,21"
lZkdM_eJuWw,Sendiri Tapi Kuat: Rahasia Jiwa yang Tak Banyak Orang Tahu – Dr. Fahruddin Faiz,"Apr 26, 2025",3357,816,"233,0794",7,"16220,46",6892,"8,56"
ktNspKaMuq8,Matikan Egomu Sebelum Cintamu Rusak #shorts,"Jul 21, 2026",61,799,"5,5119",1,"151,102",427,"6,79"
gVE_AwaVgXw,Menikah: Kehilangan Kebebasan atau Menemukan Arah? #shorts,"Jul 8, 2026",57,797,"6,7336",1,"123,894",424,"6,13"
V_pP8L-ftQI,Zarathustra: Nabi yang Dihapus Sejarah atau Mitos yang Disalahpahami?  – Dr. Fahruddin Faiz,"Jan 16, 2026",6978,765,"385,9042",7,"13562,413",7548,"6,96"
68-BosDy2y4,"Bukan Kurang Cinta, Tapi Salah Arah #shorts","Jul 7, 2026",70,724,"4,4603",1,"131,012",348,"5,17"
fj67JqImG60,Ojo Dumeh: Kenapa Kamu Harus Berhenti Merasa Paling Benar? #shorts,"Jul 25, 2026",64,714,"4,9844",1,"74,94",256,"4,69"
xdHC4GS395o,Urip Iku Mampir Ngombe: Kenapa Dunia Bukan Tujuan Akhir?,"Jul 16, 2026",74,691,"4,4756",0,"119,786",359,"4,46"
dQX4newpgjI,Dekat Tapi Tetap Berjarak #shorts,"Jul 11, 2026",65,644,"4,7359",0,"129,899",352,"4,55"
UOy0kj5LBfQ,Siapa Guru Sejati? Ini Wejangan Sunan Bonang – Dr. Fahruddin Faiz,"Jun 15, 2025",27,606,"3,2869",3,"81,577",2515,"4,53"
RAl6b-OLhWU,Jangan Cari Bahagia di Pernikahan #shorts,"Jun 30, 2026",58,563,"2,0464",0,"57,133",430,"5,58"
yp7A6BMtFFw,Kamu Belum Hidup — Karena Belum “Mati”  — Hikmah Syekh Arsyad Al-Banjari,"Feb 21, 2026",7157,545,"346,8294",0,"8314,199",4101,"8,02"
bJR8bwrkP38,"Seringkali kita sibuk mencari teman yang 'menyenangkan', sampai lupa mencari teman yang 'membangun'.","Jul 6, 2026",15,488,"0,3787",0,"10,134",0,
OspCCNbeJns,Ibnu Sina: Saat Pikiran Melukai Tubuh | Dr. Faiz,"Jun 5, 2026",6356,462,"355,9253",1,"16933,975",2822,"11,94"
9rUX9c_LBhw,Benarkah Kita Sebenarnya “Tiada”? Penjelasan Ibnu Arabi,"Feb 28, 2026",7094,349,"182,6952",0,"10327,842",2699,"8,45"
nOCtv9EACqg,Makna dan Tujuan Hidup: Obat dari Kekosongan Eksistensial – Dr. Fahruddin Faiz,"Oct 22, 2025",6361,307,"212,0225",0,"7591,036",1666,"12,3"
NM8RYhIbgog,Mengapa Orang Saleh Justru Paling Tenang? 3 Rahasia Sufi Imam Hasan Al-Bashri - Dr. Fahruddin Faiz,"Dec 26, 2025",6014,288,"151,4212",0,"3515,238",1882,"7,97"
OCBriiNeDcg,"Dihormati Dunia, Tapi Memilih Jalan Sunyi — Hikmah Hidup Syekh Nawawi Al-Bantani","Feb 6, 2026",6566,276,"167,8255",0,"5301,392",2081,"8,51"
pY9eKgf_BT0,Kenapa Kita Sering Merendahkan Bangsa Sendiri? #shots,"Jul 12, 2026",70,275,"2,1023",2,"56,065",430,"2,56"
8Hgw9bSOXkM,Krishna Nabi atau Bukan? Pertanyaan Berani yang Jarang Dibahas Ulama,"Feb 14, 2026",6872,271,"146,9431",0,"4974,886",2495,"6,89"
0Ifl8ULyCu4,Kamu Bukan Gak Laku #shorts,"Jun 27, 2026",50,259,"3,0039",0,"41,03",221,"3,62"
vFCNhPTEh9g,Ibnu Atha’illah: Mahabbatullah & Jalan Ketenangan Hati – Dr. Fahruddin Faiz,"Sep 12, 2025",6329,247,"131,1442",0,"4206,981",1726,"10,49"
wtY_vNmt2iI,"Bukunya Dibakar, Ajarannya Dilarang — Siapa Takut Hamzah al-Fansuri?","Feb 20, 2026",6622,201,"113,6223",0,"3758,881",1662,"8,6"
Y8eP1ZG-a7s,Kenapa Menang Debat Bisa Kehilangan Cinta? #shorts,"Jul 23, 2026",75,201,"2,6273",0,"11086,909",330,"6,06"
Fl-HHv21Ens,Sutan Takdir: Kamu Mandek Bukan Karena Gagal—Tapi Takut Memulai,"Jun 28, 2026",6689,193,"104,1597",1,"2805,585",3077,"4,03"
DroF80vgbxA,Kamu Lelah Bukan Karena Dunia—Tapi Karena Kamu Tidak Bisa Melepaskannya,"May 15, 2026",6289,191,"131,1822",0,"5558,106",1180,"9,66"
4iZHxoiq8xM,"Hidup Itu Mudah, Tapi Pikiran Kita Ribet! – Dr. Fahruddin Faiz","Apr 14, 2025",1611,186,"36,4608",0,"2701,701",1334,"6,6"
sRpOBmixJC8,"Bebas Itu Pilihan! Latihlah Dirimu Melepas Beban, Hidup Jadi Lebih Ringan","May 12, 2026",6749,184,"139,7457",0,"4597,87",1052,"10,36"
CiG2nHB3VvI,Reset Hidup ala Syekh Muhammad al-Ghazali: Rahasia Bahagia Sejati – Dr. Fahruddin Faiz,"Sep 5, 2025",6417,184,"125,6838",0,"3931,904",1156,"9,26"
rxlohIdRDHo,Kenapa Bung Karno Mengkritik “Islam Sontoloyo”? Banyak yang Salah Paham,"Apr 12, 2026",6974,175,"87,783",0,"1661,04",1503,"8,32"
4D5FOjG9RRk,Apakah Sains Membuat Kita Kehilangan Makna Hidup?,"Dec 29, 2025",7400,169,"141,074",0,"5793,382",1216,"9,46"
7-5SYLpfS0I,Jangan-Jangan Kamu Tertipu Amalmu Sendiri — Peringatan Imam Al-Ghazali,"Mar 6, 2026",6411,168,"55,7977",1,"1601,218",1716,"6,88"
tXf38ki3N0w,Filsafat Cahaya yang Membuatnya Dieksekusi — Kisah Suhrawardi Al-Maqtul,"Feb 19, 2026",7000,167,"89,4085",0,"3438,874",1063,"8,65"
UORg11m_Z3E,Setan & Hewan dalam Dirimu — Harus Dimatikan atau Dikendalikan?,"Mar 18, 2026",7098,165,"123,7866",0,"3434,311",888,"9,01"
FNgAgTF14ME,Kenapa Pendosa Justru Lebih Dicintai Allah?,"Apr 16, 2026",6189,161,"89,2696",0,"3614,405",988,"7,59"
lnZYBpgRkZ8,Usia Hanya Angka: Rahasia Jiwa yang Tak Pernah Menua – Dr. Fahruddin Faiz,"Oct 17, 2025",6495,148,"89,135",0,"3122,874",1259,"7,63"
8wF27cyWJjk,Rahasia Tergelap Sufi: Mengapa Rabi’ah Menolak Surga & Neraka? – Dr. Fahruddin Faiz,"Dec 12, 2025",6049,143,"88,1202",1,"4717,618",917,"9,81"
WDUBkz3yo34,Nur & Nalar: Mengapa Akal Tanpa Cahaya Ilahi Tak Pernah Cukup? – Dr. Fahruddin Faiz,"Aug 29, 2025",6766,137,"95,6013",0,"3124,792",935,"9,2"
wGQIBfQebpc,Patah Hati & Obat Sufi: Rahasia Menyembuhkan Luka Jiwa – Dr. Fahruddin Faiz,"Aug 15, 2025",6745,135,"96,6981",0,"5957,731",874,"10,3"
1-Q1IQaip1g,Resiliensi Diri: Tetap Kuat di Tengah Hidup Penuh Ketidakpastian – Dr. Fahruddin Faiz,"Oct 13, 2025",6350,134,"83,8222",0,"2979,272",788,"11,04"
5LzlHRH-P7M,Syukur: Jalan Sunyi Menuju Ketenteraman Batin – Dr. Fahruddin Faiz,"Apr 20, 2025",2131,131,"26,4763",0,"1727,408",1367,"6,88"
xAeP_rXTRiQ,Bebas dari yang Dikenal: Mengapa Hidup Kita Tidak Orisinil? Jiddu Krishnamurti – Dr. Fahruddin Faiz,"Jul 28, 2025",6538,120,"68,4752",0,"2405,032",891,"7,63"
_6odXfcSF2Y,Penyakit Ini Ada Dalam Dirimu — Kata Sunan Bonang Paling Sulit Disembuhkan,"Feb 13, 2026",7269,114,"84,2537",0,"2274,56",921,"7,17"
pSfQWtuzqVg,Rumus Sederhana Hidup Tenang – Dr. Fahruddin Faiz | Suara Filsuf,"May 5, 2025",60,112,"1,745",0,"19,803",324,"3,7"
L2r0Cwyc5nA,"Hidup Terlalu Berat? Rahasia Logoterapi, Tetap Bermakna di Tengah Penderitaan – Dr. Fahruddin Faiz","Oct 15, 2025",7405,111,"69,5567",0,"2657,525",596,"10,4"
1UoMoM55Ufg,Prasangka Diam-Diam Menghancurkan Hidupmu — Sadari Sebelum Terlambat!,"Aug 13, 2025",7147,108,"85,5874",0,"2737,053",606,"10,23"
-K-2ukv-eyE,RAHASIA AKHLAK NABI: Cara Menjadi Pribadi Agung seperti Rasulullah SAW – Dr. Fahruddin Faiz,"Nov 21, 2025",6827,108,"64,3799",0,"1910,4",825,"8,97"
ATPDYC2U38U,Rasa Hampa Itu Teguran — Tapi Kamu Terus Mengabaikannya,"Apr 9, 2026",6186,106,"58,7443",0,"997,464",592,"8,61"
9cud-T3SuC0,"Sun Tzu: Perhatian Kita Terlihat Bebas, Padahal Sedang Dikendalikan – Dr. Fahruddin Faiz","Jun 19, 2026",6681,101,"71,5514",0,"2228,227",637,"6,12"
JrgvmRawzX0,Imam Ghazali: Mengapa Jiwamu Terasa Kosong Padahal Usiamu Kian Dewasa?,"Jun 14, 2026",6229,96,"34,2887",0,"1257,607",780,"9,1"
AE2Jbsb-8VA,Filsafat Puasa Gandhi: Lapar yang Jadi Senjata Perlawanan Tanpa Kekerasan – Dr. Fahruddin Faiz,"Sep 1, 2025",5708,96,"24,1686",4,"1673,42",449,"19,38"
pptq4g_4--U,Ciri Suara Hati Nurani yang Sering Kita Abaikan – Dr. Fahruddin Faiz,"Jun 17, 2025",42,94,"0,6904",1,"15,244",635,"4,25"
MSKWKOfeYuw,Santo Agustinus: Cara Mengakhiri Perang di Dalam Pikiranmu – Dr. Fahruddin Faiz,"Jun 17, 2026",6635,91,"68,2366",0,"1662,412",715,"4,06"
AAdYkCM-es0,Konfusius: Stop Menyalahkan Orang Lain! Pelajaran Hidup yang Mengubah Segalanya – Dr. Fahruddin Faiz,"Sep 10, 2025",6436,86,"54,6279",0,"3186,69",548,"12,04"
hKPGwBEJCd8,Tan Malaka: “Indonesia Belum Merdeka!” Ucapan yang Mengguncang Sejarah – Fahruddin Faiz,"Aug 4, 2025",6179,85,"40,5086",0,"1666,993",774,"8,53"
J122zpRINjc,Saat Pikiran Tak Pernah Diam — Apakah Ini Masalah Mental atau Jiwa?  – Dr. Fahruddin Faiz,"Jan 22, 2026",5368,84,"49,7238",0,"1674,68",518,"8,11"
