Content,Video title,Video publish time,Duration,Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%)
Total,,,,13331,"69,2388",23,480,"6,25"
Mo3d2Vvd7IY,Vitamin Terbaik untuk Seorang Suami #short,"Jun 26, 2026",45,1867,"11,4857",2,22,"4,55"
CmG1tlv722A,Siapa Teman Sekamarmu di Neraka? #short,"Jul 2, 2026",59,1255,"6,1891",0,50,2
mrhZxHBqP2I,Hadis Pengingat untuk Kaum Wanita #short,"Jun 28, 2026",43,1212,"4,8996",3,30,"3,33"
m2zg8vBthaE,Masih Maksiat Tapi Ingin Salat #short,"Jul 6, 2026",60,1140,"4,9854",1,17,"5,88"
_qPuD8FGRgs,Alasan Kenapa Hatimu Sering Sakit #short,"Jun 24, 2026",38,1110,"3,9374",1,19,"5,26"
tt7dEzH5Fd0,Jangan Jadi Tuhan bagi Orang Lain #short,"Jul 11, 2026",75,1088,"9,292",4,9,"11,11"
iYZsyrk-Jwk,Penyakit Hijrah yang Paling Berbahaya #short,"Jul 1, 2026",60,1027,"3,9021",1,16,"6,25"
cbV4ayryLgM,Hati-hati dengan Mental Miskin #short,"Jun 21, 2026",58,987,"5,3241",0,14,"7,14"
nlE_ZtnWPGk,Dosa yang Lebih Buruk dari Zina & Pembunuhan #short,"Jun 30, 2026",53,971,"5,2691",6,16,"6,25"
SEyPgwYEEu8,Ngerinya Alam Kubur Bagi Orang yang Lalai #shorts,"Jul 13, 2026",50,957,"4,1814",,6,"33,33"
qXnDzN5hwc8,Kunci Rumah Paling Nyaman di Kubur #short,"Jun 20, 2026",51,907,"3,5907",1,18,"22,22"
ZFp0ZAj8s5w,Anak Belum Makan Lebih Menakutkan dari Pocong #short,"Jun 22, 2026",61,768,"5,2399",1,50,2
z3zCinhlTNo,Lebih Buruk dari Zina: Akibat Fatal Sengaja Tinggal Shalat - Gus Kautsar,"Jul 3, 2026",2571,16,"0,2094",0,16,"12,5"
UadPQ9tF9k8,Kunci Batin Kembali Tenang Saat Kecewa - Gus Kautsar,"Jun 24, 2026",1197,7,"0,2352",0,34,"17,65"
0q3FoHK6UqI,Rahasia Tenang di Kubur: Amalan Ringan yang Disepelekan - Gus Kautsar,"Jun 21, 2026",1833,6,"0,2013",0,53,"7,55"
o1I2F_DfhFk,Jangan Putus Asa Saat Merasa Jadi Manusia Terhina - Gus Kautsar,"Jun 19, 2026",2325,6,"0,2972",0,39,"5,13"
EP_fBkKSVao,Bahaya! Ini Teman Sekamarmu di Neraka Jika Meninggalkan Salat,"Jul 12, 2026",2007,3,"0,0152",0,5,0
1UcL8DD5NQk,Benarkah Nabi Pernah Keliru? Tafsir Mengejutkan Gus Baha | Al-Fath 1-9,"Feb 10, 2026",4511,,,,10,0
EQq0PB68mAg,Kenapa Tobat Tidak Diterima? Gus Baha Ungkap Rahasia Tobat Sejati | Tafsir Al-Fath Ayat 16-23,"Feb 18, 2026",5378,,,,28,0
ZiciVdcR-Hw,Mengapa Orang Munafik Terasa Berat Shalat? Tafsir Tajam Gus Baha | Al-Fath 10-15,"Feb 13, 2026",4044,,,,27,0
FHqFMTELTls,9 TAHAP JIWA Menuju Cinta Allah: Jalan Sunyi Para Pecinta Ilahi | Ngaji Al-Hikam – Dr.Fahruddin Faiz,"Nov 6, 2025",4988,,,,1,0
