Content,Video title,Video publish time,Duration,Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%)
Total,,,,12046,"61,6235",19,531,"5,27"
m2zg8vBthaE,Masih Maksiat Tapi Ingin Salat #short,"Jul 6, 2026",60,1143,"5,0271",1,24,"4,17"
hDHn_BHYJPo,Teman Setia di Kubur Bagi Pelalai Salat #shorts,"Jul 14, 2026",52,1104,"4,1901",2,16,"6,25"
tt7dEzH5Fd0,Jangan Jadi Tuhan bagi Orang Lain #short,"Jul 11, 2026",75,1092,"9,3153",4,27,"7,41"
cxOvBZud49c,Rahasia Waktu yang Hilang #shorts,"Jul 29, 2026",56,1083,"6,3059",4,12,"8,33"
XOTj70kc1kc,Mencari Barokah dengan Cara Unik #shorts,"Jul 20, 2026",63,1050,"5,4809",0,18,"11,11"
SEyPgwYEEu8,Ngerinya Alam Kubur Bagi Orang yang Lalai #shorts,"Jul 13, 2026",50,1007,"4,2812",0,28,"3,57"
FQOglT84oTM,Tangan yang Menyambung ke Rasulullah #shorts,"Jul 30, 2026",61,967,"5,1146",,4,25
5GOJnhjVwBw,Cara Cepat Masuk Surga #shorts,"Jul 22, 2026",35,925,"3,6959",2,14,"7,14"
ReqBj-APqVE,Siapkan Jawabanmu di Alam Kubur #shorts,"Jul 19, 2026",52,794,"4,3831",0,13,"7,69"
Pg1BwhO1QNw,Pagi Tobat Sore Kumat? #shots,"Jul 25, 2026",61,592,"4,4455",1,7,"14,29"
MKvPPAcobL0,Jangan Marah Saat Dinasihati #shorts,"Jul 26, 2026",55,516,"1,8361",0,10,20
zoPLLW73RAs,Cara Ampuh Agar Anak Rajin Salat #shorts,"Jul 18, 2026",72,516,"1,6765",1,13,0
CmG1tlv722A,Siapa Teman Sekamarmu di Neraka? #short,"Jul 2, 2026",59,418,"1,691",0,77,0
rcgi3wOruLU,Tetap Semangat Ibadah! #shorts,"Jul 23, 2026",38,413,"1,6899",1,18,0
UQxTJ7_bzVc,Rahasia Rezeki Berkah Lewat Salat #shorts,"Jul 15, 2026",56,263,"1,0044",2,15,"6,67"
iYZsyrk-Jwk,Penyakit Hijrah yang Paling Berbahaya #short,"Jul 1, 2026",60,91,"0,2604",0,16,0
nlE_ZtnWPGk,Dosa yang Lebih Buruk dari Zina & Pembunuhan #short,"Jun 30, 2026",53,19,"0,1114",0,19,0
cbV4ayryLgM,Hati-hati dengan Mental Miskin #short,"Jun 21, 2026",58,8,"0,0751",0,6,0
z3zCinhlTNo,Lebih Buruk dari Zina: Akibat Fatal Sengaja Tinggal Shalat - Gus Kautsar,"Jul 3, 2026",2571,6,"0,5967",0,32,"15,63"
mrhZxHBqP2I,Hadis Pengingat untuk Kaum Wanita #short,"Jun 28, 2026",43,6,"0,0371",0,13,0
qXnDzN5hwc8,Kunci Rumah Paling Nyaman di Kubur #short,"Jun 20, 2026",51,5,"0,0443",0,8,"12,5"
ZFp0ZAj8s5w,Anak Belum Makan Lebih Menakutkan dari Pocong #short,"Jun 22, 2026",61,5,"0,0204",0,28,0
Mo3d2Vvd7IY,Vitamin Terbaik untuk Seorang Suami #short,"Jun 26, 2026",45,5,"0,0341",0,21,0
_qPuD8FGRgs,Alasan Kenapa Hatimu Sering Sakit #short,"Jun 24, 2026",38,4,"0,0278",0,10,10
3wn4gy6dbgE,Jaga Salatmu: Inilah yang Terjadi di Alam Kubur Jika Kita Lalai,"Jul 17, 2026",2219,3,"0,0431",0,11,"9,09"
EP_fBkKSVao,Bahaya! Ini Teman Sekamarmu di Neraka Jika Meninggalkan Salat,"Jul 12, 2026",2007,3,"0,0152",0,13,0
0q3FoHK6UqI,Rahasia Tenang di Kubur: Amalan Ringan yang Disepelekan - Gus Kautsar,"Jun 21, 2026",1833,2,"0,0271",0,12,"16,67"
9yJ61Kl7kco,80 Orang Hendak Bunuh Nabi… Tapi Dimaafkan? Tafsir Menggetarkan Gus Baha | Al-Fath 24-29,"Jul 28, 2026",5229,1,"0,0037",0,6,"16,67"
KuX9xmtF1V8,Mengapa Waktu Terasa Begitu Cepat? Rahasia Keberkahan yang Hilang,"Jul 24, 2026",1304,1,"0,0028",0,10,10
EQq0PB68mAg,Kenapa Tobat Tidak Diterima? Gus Baha Ungkap Rahasia Tobat Sejati | Tafsir Al-Fath Ayat 16-23,"Feb 18, 2026",5378,,,,4,0
o1I2F_DfhFk,Jangan Putus Asa Saat Merasa Jadi Manusia Terhina - Gus Kautsar,"Jun 19, 2026",2325,,,,7,0
1UcL8DD5NQk,Benarkah Nabi Pernah Keliru? Tafsir Mengejutkan Gus Baha | Al-Fath 1-9,"Feb 10, 2026",4511,,,,3,0
ZiciVdcR-Hw,Mengapa Orang Munafik Terasa Berat Shalat? Tafsir Tajam Gus Baha | Al-Fath 10-15,"Feb 13, 2026",4044,,,,6,0
