Content,Video title,Video publish time,Duration,Views,Watch time (hours),Subscribers,Estimated revenue (IDR),Impressions,Impressions click-through rate (%)
Total,,,,16290,"829,938",9,"66415,49",87809,"3,5"
WEPXxgpxAJY,Menikah Berarti Kehilangan Kebebasan…? #shorts,"Jul 6, 2026",60,1953,"3,2154",0,"239,63",87,"1,15"
CxnjquuVPbc,Serawung Roso: Menyambung Hati dengan Sesama #shorts,"Jul 13, 2026",63,1627,"4,3498",3,"172,838",70,"2,86"
gsr9gDEqw8o,Alasan Hubungan Jadi Hambar #shorts,"Jul 5, 2026",51,1302,"4,086",2,"256,628",59,"3,39"
Sx8f98DvBZc,Ciri Cinta Posesif (Mengontrol) #shorts,"Jul 3, 2026",59,1071,"4,2903",0,"282,133",92,"3,26"
QuHHAVZH7xw,Pernikahan Jadi Membosankan? Ini Penjelasannya #shorts,"Jul 21, 2026",78,1002,"4,0096",2,"110,885",31,"3,23"
BsuWaAc0Wqs,Berhenti Mencari Orang yang Tepat #shorts,"Jul 4, 2026",52,992,"4,0029",0,"206,978",74,"2,7"
BIAU9uAWgps,Yang Dibongkar Hubungan Bukan Dia… Tapi Dirimu #shorts,"Jul 12, 2026",56,985,"3,7565",3,"197,395",82,"3,66"
GEONnGNIrZQ,Hubunganmu Melelahkan… Atau Egomu yang Belum Selesai? – Dr. Fahruddin Faiz,"Jul 25, 2026",2663,958,"192,2032",5,"17586,82",21150,"3,8"
yPRFG6ljNzI,"Musuh Terberat Itu Bukan Orang Lain, Tapi Dirimu Sendiri – Dr. Fahruddin Faiz","Jun 24, 2026",3034,880,"202,8932",8,"14783,59",16367,"4,09"
iZTvQQix9gg,Mengapa Kita Mudah Terluka oleh Orang yang Paling Kita Cintai? – Dr. Fahruddin Faiz,"Jul 16, 2026",2062,582,"103,6199",3,"6219,881",11867,"3,93"
ZFKp2nlUmJ0,Cinta Dewasa Itu Bukan Karena… Tapi Meskipun #shorts,"Jul 15, 2026",57,563,"0,8624",0,"42,554",51,"5,88"
nUi8tU-9WPk,Siap Terluka Karena Cinta? #shorts,"Jul 9, 2026",61,525,"1,2659",0,"62,983",63,"4,76"
zUFGtUWZgw4,Menikah Tidak Menyembuhkan Sepi #shorts,"Jul 1, 2026",60,466,"0,9637",0,"45,364",121,"3,31"
87KqYUYZap0,Hidupmu Bukan Lagi Milikmu Jika Pikiranmu Mudah Diseret ke Mana-Mana – Dr. Fahruddin Faiz,"Jun 26, 2026",1900,455,"65,3852",7,"5662,676",15282,"2,09"
XfJ4zOLZzTU,Rumus 5:1 Agar Hubungan Awet … #shorts,"Jul 17, 2026",61,439,"0,8367",0,"38,009",53,"3,77"
5THQVqj3dcM,Salah Pilih Pasangan Jauh Lebih Menakutkan Daripada Terlambat Menikah – Dr. Fahruddin Faiz,"Jul 11, 2026",2599,438,"84,2841",1,"7662,465",10142,"3,4"
d0WR9AGX3lE,Hubunganmu Terlalu Dekat? #shorts,"Jul 7, 2026",62,327,"1,0774",0,"60,277",73,"2,74"
Ix11TSIne9k,Bahaya Cinta Hitung-Hitungan #shorts,"Jul 14, 2026",55,316,"0,619",0,"36,626",36,"2,78"
CteDDs7y2lI,Bukan Kurang Cinta! Alasan Kenapa Rumah Tangga Sering Runtuh Karena Hal Sepele – Dr. Fahruddin Faiz,"Jul 8, 2026",2283,209,"40,4169",2,"5699,117",4370,"3,59"
_OVexKmZsZU,Arti Cinta yang Sebenarnya #shorts,"Jul 22, 2026",59,198,"0,2153",0,"11,092",34,0
onV_DNPd5pc,"Kamu Tertarik, Nafsu, atau Cinta? #shorts","Jul 20, 2026",67,183,"0,2455",0,"10,175",39,0
B9dvm0MKVaA,"Kalau Hidup Terasa Hampa, Mungkin Kamu Bukan Malas… Tapi Kehilangan Makna","Jul 2, 2026",2882,174,"39,383",0,"3773,013",4713,"2,84"
OKKKAqpAFgc,Kenapa Namanya 'Rumah Tangga'? #shorts,"Jul 18, 2026",61,123,"0,4757",0,"12,189",50,2
